Baseline,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10
roll_uniform_eh_acc1_0_mjdp0_v3_4_10yrs,10731017.486514539,11335359.42502551,11936854.520367963,12277075.057581399,12435195.659014205,12592329.934568532,12766209.723311754,12854204.351546604,12980628.277240764,13133822.702817399
noroll_mjdp180_v3_4_10yrs,10733118.128702385,11446509.739072151,11968745.345066534,12240109.871022856,12468060.282883951,12636135.342011001,12772765.669716699,12893621.985914199,13036074.939150102,13169998.09252026
noroll_mjdp365_v3_4_10yrs,10571394.93069911,11408968.932988863,12018284.806168765,12317819.653186178,12513294.18974084,12673300.518821118,12817292.913338253,12921877.147774301,13050457.833576895,13197090.734006789
roll_uniform_eh_au_acc0_5_mjdp0_v3_4_10yrs,10768705.206979673,11349338.912543241,11955483.288681801,12304008.841037326,12464839.398225425,12622627.00063157,12778738.060570495,12872091.110798676,13002352.530986082,13145278.784293244
roll_uniform_eh_acc0_5_mjdp0_v3_4_10yrs,10768705.206979673,11368601.172270387,11977680.075239843,12301906.871724319,12459789.22190404,12611803.661779756,12777526.813086513,12868984.973347958,12994726.36051821,13149347.168078443
roll_uniform_eh_acc0_2_mjdp0_v3_4_10yrs,10768900.873688556,11373506.467796773,11949554.047305962,12294574.126515808,12460368.094429038,12608097.613146989,12778034.459066065,12863167.772560116,12989604.515730944,13138210.501852766
roll_uniform_mjdp180_v3_4_10yrs,10594388.291367799,11389966.96567344,11845734.818846256,12157274.198983444,12391646.3810156,12556060.881488375,12720991.722847598,12819098.604572833,12936565.154693466,13105901.519402161
roll_uniform_mjdp67_v3_4_10yrs,10601387.696626343,11337874.069058722,11859490.672346283,12201683.392131789,12396026.88517632,12565888.52050685,12730305.145978563,12833335.007041521,12961680.682833564,13112405.537765503
roll_3_v3_4_10yrs,10824303.221778655,11463475.834585333,11986708.744427104,12276951.478931915,12450385.542553293,12622047.198125847,12766241.566447092,12881016.615698386,13032151.917608768,13164877.286789455
roll_pause_mjdp270_v3_4_10yrs,10749713.904527873,11465339.869831014,11944053.994927261,12287453.969402011,12532228.014389474,12659517.929758685,12809418.067280002,12906638.347745128,13013666.512878768,13166233.463628896
