Baseline,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10
roll_uniform_eh_acc1_0_mjdp0_v3_4_10yrs,13278322.56250966,14089006.354885286,14738605.486604583,15072461.620459197,15280892.269955609,15466894.783012915,15635905.454952195,15764418.46827662,15909945.65876618,16058177.988563458
noroll_mjdp180_v3_4_10yrs,13082580.771326259,14193873.695742808,14792835.212205362,15113635.888125245,15354398.964032657,15546704.39308006,15705749.9462789,15832909.085592246,15988362.08204859,16145846.538312376
noroll_mjdp365_v3_4_10yrs,13276503.584318262,14266607.173662405,14853386.309257265,15179296.014221381,15396056.192102218,15593036.470767578,15759844.2671174,15889304.508470329,16027246.980197594,16191937.536343321
roll_uniform_eh_au_acc0_5_mjdp0_v3_4_10yrs,13307833.065484323,14150969.258103576,14820358.719047723,15134176.787975978,15338689.680392426,15533092.726640241,15692583.788810803,15820434.641094264,15966000.817462673,16107664.365020586
roll_uniform_eh_acc0_5_mjdp0_v3_4_10yrs,13307833.065484323,14126527.43157779,14779066.409866776,15111629.541129125,15320475.458019068,15519362.836461365,15686958.39362638,15811009.976246528,15954263.04553478,16098254.74941303
roll_uniform_eh_acc0_2_mjdp0_v3_4_10yrs,13342288.199795801,14144734.829400882,14810624.397406252,15134064.440108463,15341707.3573807,15533961.421251655,15694550.380691987,15823786.761724668,15972181.97841655,16115315.426789239
roll_uniform_mjdp180_v3_4_10yrs,13114159.601543646,14143685.644964725,14735459.480097273,15070280.541642483,15305176.38145774,15499312.951500684,15659755.688278671,15785242.720248725,15942687.587694567,16092326.347839892
roll_uniform_mjdp67_v3_4_10yrs,13230044.987988781,14188379.42755869,14745560.858042784,15097454.069277586,15314923.225342197,15507479.250025017,15674247.736803675,15812145.109966205,15947250.021730417,16099077.384100849
roll_3_v3_4_10yrs,13303583.21642362,14242445.626908176,14790608.487078167,15147526.503585065,15352054.74433215,15539874.909151617,15695823.131220093,15825400.865530144,15972353.758332588,16121204.877576513
roll_pause_mjdp270_v3_4_10yrs,13381677.104284696,14270583.663343247,14794461.612511836,15178338.079167744,15404100.546030205,15579735.701636607,15746244.269147143,15860611.245791562,15986611.409990445,16131295.922595598
roll_uniform_early_half_mjdp0_v3_4_10yrs,13351195.928375628,14144279.840195639,14835029.285347585,15154993.595136618,15363408.703296028,15549374.25390037,15717940.895412404,15841758.560737738,15986370.676558413,16126367.817558493
roll_uniform_eh_au_acc1_0_mjdp0_v3_4_10yrs,13278322.56250966,14113628.905998534,14776033.341194782,15100028.421810608,15316185.471160466,15505548.901532426,15673919.798893306,15800943.06209004,15953862.755081847,16092490.688404402
roll_uniform_early_half_mjdp253_v3_4_10yrs,13419991.07179278,14192359.480267163,14833731.748019129,15193451.176708812,15400965.211041482,15589145.796409158,15753368.318791628,15865740.266370252,15990356.034720056,16131024.023257658
noroll_mjdp0_v3_4_10yrs,13351195.928375628,14268010.462034479,14847060.02593358,15181537.732186921,15393776.574036011,15587008.630192112,15754962.7137065,15883790.295114895,16037415.387469491,16173154.55781663
noroll_v3_4_10yrs,13348197.344852526,14270783.330011077,14857281.401032448,15177207.248742448,15394997.968343517,15586176.335193828,15758630.08982695,15889327.899427006,16035383.968847925,16179076.666515613
roll_pause2_mjdp365_v3_4_10yrs,13279554.436615594,14234712.95469435,14785605.623455398,15136182.364938919,15356245.759281345,15531185.066626195,15704534.695529867,15835201.281301916,15970635.734029455,16128111.760985654
roll_uniform_eh_acc0_0_mjdp0_v3_4_10yrs,13303583.21642362,14138841.51857588,14819469.13720416,15138731.488595834,15344038.441495331,15535857.472214129,15703185.746160988,15827406.558014523,15973204.595871683,16118741.305711258
roll_pause2_mjdp180_v3_4_10yrs,13114159.601543646,14150141.04907987,14729895.708832357,15076935.077766959,15306939.400913503,15493768.975940872,15665803.382987743,15786861.95226502,15933815.374072889,16095637.372316383
roll_pause2_mjdp120_v3_4_10yrs,13188718.866011823,14160803.145091409,14752043.669306157,15104400.752635198,15331187.860070756,15507755.740777489,15669672.996853957,15809004.821125545,15954872.623266922,16110157.506246362
roll_pause_mjdp60_v3_4_10yrs,13280670.919129068,14197695.633654693,14737651.60662672,15102614.769612111,15330930.355525825,15512107.579832055,15678004.5234012,15812728.739555432,15954945.236240916,16107360.387329971
roll_uniform_eh_acc0_8_mjdp0_v3_4_10yrs,13247769.76373367,14105711.830877986,14777596.17837851,15100610.661035346,15303657.166809987,15496552.731698135,15665601.641668994,15795880.838875169,15939628.686089752,16085022.378436308
roll_pause2_mjdp270_v3_4_10yrs,13331474.023662329,14252209.689670032,14804939.789075533,15186445.703372145,15407561.076939072,15587148.033053868,15759883.843529433,15880883.21045626,15993978.70859015,16138908.055271413
roll_uniform_mjdp0_v3_4_10yrs,13327511.699814357,14230987.06673723,14790879.582469895,15132766.091618586,15334547.557399927,15526635.327173917,15704590.541894123,15826957.373590928,15973663.054225383,16117041.972303463
roll_pause2_mjdp0_v3_4_10yrs,13327511.699814357,14236601.486171197,14790985.726871755,15139474.26338573,15360254.728707211,15533458.085904028,15709266.457639406,15838856.985857653,15976238.75580819,16126952.178396564
roll_uniform_early_half_mjdp180_v3_4_10yrs,13082580.771326259,14064597.714496577,14730730.231803453,15057182.871401161,15306623.035711477,15502076.340137104,15667140.831071729,15793979.987994766,15945219.127207033,16098721.719967969
roll_pause_mjdp120_v3_4_10yrs,13125272.826108404,14133040.276163511,14729606.341839176,15097467.358326793,15314182.24921479,15499935.025802698,15663775.565901529,15787657.28561236,15940541.56980056,16094547.98886912
noroll_mjdp120_v3_4_10yrs,13125272.826108404,14168743.739136253,14816853.377335064,15122134.766153231,15349166.982922614,15543777.60447862,15704412.948380362,15844668.230658906,15998607.630122352,16147337.667316161
roll_pause2_mjdp60_v3_4_10yrs,13268446.47082948,14184860.757578205,14767901.24742721,15123127.208964191,15341911.031340804,15520665.03835021,15684981.191232089,15829456.136498839,15962520.265299806,16114318.595247054
roll_pause_mjdp365_v3_4_10yrs,13276503.584318262,14222171.026016615,14783966.724087901,15131775.939012494,15349200.503604908,15524242.58319548,15696443.529645871,15814984.992635332,15951858.81874441,16126389.34609072
roll_uniform_early_half_mjdp67_v3_4_10yrs,13237289.437650993,14109975.843564767,14790748.694522657,15112176.078383662,15329803.180733515,15522514.52619626,15681809.376621991,15820888.733343106,15957225.439457111,16107726.332442539
roll_uniform_eh_au_acc0_8_mjdp0_v3_4_10yrs,13247769.76373367,14111141.004116645,14793804.837936347,15123213.95701915,15329767.972269062,15524698.15848712,15691645.716999386,15819429.102001674,15967929.905671686,16102878.739436766
roll_uniform_early_half_accordion1_mjdp0_v3_4_10yrs,13278322.56250966,14089006.354885286,14738605.486604583,15072461.620459197,15280892.269955609,15466894.783012915,15635905.454952195,15764418.46827662,15909945.65876618,16058177.988563458
roll_uniform_eh_au_acc0_0_mjdp0_v3_4_10yrs,13303583.21642362,14138841.51857588,14819469.13720416,15138731.488595834,15344038.441495331,15535857.472214129,15703185.746160988,15827406.558014523,15973204.595871683,16118741.305711258
roll_uniform_eh_au_acc0_1_mjdp0_v3_4_10yrs,13332489.251078777,14171846.30223601,14823385.89186348,15143454.000127342,15346064.358931707,15540270.257531222,15708323.785527691,15831903.513961844,15977359.309340999,16124763.923426395
roll_uniform_eh_au_acc0_2_mjdp0_v3_4_10yrs,13342288.199795801,14173416.814948278,14818126.257016487,15146082.679451313,15349731.124657972,15540423.443582142,15703439.934550457,15827668.482469149,15974197.895782877,16117040.748441141
roll_pause_mjdp180_v3_4_10yrs,13082580.771326259,14150576.12524512,14717854.55816666,15068166.57795071,15300821.750508968,15482029.934229624,15642519.76858213,15770889.570626054,15920892.546119072,16080092.732327271
noroll_mjdp60_v3_4_10yrs,13280670.919129068,14210632.153321963,14844485.595080048,15171597.883633362,15391854.631024437,15580200.981165584,15746758.391933352,15881757.633187883,16024213.365524743,16168226.794160519
roll_pause_mjdp0_v3_4_10yrs,13351195.928375628,14235980.474029914,14792874.327527365,15137954.350140283,15360882.948114363,15532948.195958428,15702984.460231401,15823618.649623776,15967766.187357636,16113264.07725767
noroll_mjdp270_v3_4_10yrs,13381677.104284696,14304640.800306514,14870513.71681872,15215313.715598866,15452197.232036937,15634816.132487297,15801531.786867743,15924702.476757469,16043112.130517034,16191461.2544667
roll_uniform_mjdp253_v3_4_10yrs,13360353.641462173,14243402.273554128,14818456.334002778,15185864.010962036,15408590.214564972,15588366.410803325,15751225.015281046,15862957.844008487,15991396.91419065,16133780.023339443
