Baseline,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10
roll_uniform_eh_acc1_0_mjdp0_v3_4_10yrs,12826452.812688349,13558091.60507546,14214969.797291748,14543629.692940995,14728657.761629775,14904208.83623573,15060155.458963899,15169728.747514375,15298546.615295928,15433766.75879251
noroll_mjdp180_v3_4_10yrs,12659380.451183029,13669162.788902897,14244328.775290065,14532189.358556874,14773443.677660163,14950654.529786617,15096632.820430964,15216310.073709402,15354849.407194048,15492357.647495074
noroll_mjdp365_v3_4_10yrs,12786726.155896524,13747435.547778174,14320637.176936356,14628320.477099856,14833326.415111775,15001051.035934877,15149629.164441697,15262248.437666997,15385921.884422895,15534137.399934791
roll_uniform_eh_au_acc0_5_mjdp0_v3_4_10yrs,12828775.532804184,13605461.020888118,14271444.139510076,14571737.265796725,14759302.612910192,14936959.002684444,15092615.27570406,15200192.537190191,15335943.767823039,15470747.766661469
roll_uniform_eh_acc0_5_mjdp0_v3_4_10yrs,12828775.532804184,13584600.0327616,14245790.167720474,14563817.657611154,14756851.74329076,14930409.017674526,15083029.416374981,15196039.776556347,15324963.541248303,15457773.78332626
roll_uniform_eh_acc0_2_mjdp0_v3_4_10yrs,12860132.181711644,13618316.71963973,14274319.24148576,14594804.573511958,14781527.426828563,14958001.572266739,15110142.2920931,15220356.799903298,15346308.644554472,15474961.670036858
roll_uniform_mjdp180_v3_4_10yrs,12672675.615055732,13622152.726532238,14164843.141396642,14491272.096719554,14721279.31618831,14900296.536839738,15054959.671903225,15162049.239200281,15304102.127433259,15445806.270452905
roll_uniform_mjdp67_v3_4_10yrs,12722003.9117742,13631969.146007191,14193051.567612048,14527819.213824056,14738096.25600474,14907963.653718073,15063646.390491402,15182010.804863503,15309120.846508052,15450983.561844753
roll_3_v3_4_10yrs,12841718.827668991,13671103.31360859,14242747.57673437,14574831.56707735,14768446.031759683,14941962.57125787,15087500.932195002,15201505.14408796,15340524.303043917,15471264.477263616
roll_pause_mjdp270_v3_4_10yrs,12852657.809465766,13721749.761776041,14243034.4364928,14607933.05730324,14831138.817723133,14984027.852811899,15141828.309041027,15249770.507598333,15357196.545227122,15499565.51441201
roll_uniform_early_half_mjdp0_v3_4_10yrs,12837568.843809847,13598424.905044919,14253100.27563082,14560508.19247216,14755475.471858962,14932134.219247196,15084900.35120121,15192677.612000426,15324296.109648313,15460650.11820226
roll_uniform_eh_au_acc1_0_mjdp0_v3_4_10yrs,12826452.812688349,13583423.709499354,14250332.70830337,14562605.058134817,14758331.584068231,14936189.639562037,15086320.236886453,15193642.525751276,15332528.046456873,15461464.142903252
roll_uniform_early_half_mjdp253_v3_4_10yrs,12880757.15286209,13613819.591668602,14220021.407854866,14607100.209948083,14796409.631431773,14972263.992419604,15135429.800404008,15227006.06696653,15349542.622547138,15487565.16113432
noroll_mjdp0_v3_4_10yrs,12837568.843809847,13703760.515324118,14308760.267085992,14615151.120202672,14815638.067789506,14991113.30043779,15141501.893016085,15256467.23862309,15390220.312781628,15518848.053322328
noroll_v3_4_10yrs,12788913.547126163,13676694.539485615,14284640.666219443,14581979.88153262,14788206.947557278,14967659.871896747,15120006.001625098,15234440.051262088,15367874.895705089,15497158.688746527
roll_pause2_mjdp365_v3_4_10yrs,12796240.73258734,13708725.454373492,14241287.253748132,14574564.34215944,14786812.820995662,14937400.993610483,15100552.429233063,15217072.902168415,15335346.155208943,15488032.01942713
roll_uniform_eh_acc0_0_mjdp0_v3_4_10yrs,12841718.827668991,13600918.758345876,14258104.983018111,14579491.350311488,14772225.956970926,14941845.818068523,15098544.208169708,15210254.121218264,15338321.607576966,15470743.93045762
roll_pause2_mjdp180_v3_4_10yrs,12672675.615055732,13637789.51284703,14166660.69620315,14478248.246433977,14727091.301780354,14885245.47809098,15043855.856024206,15167679.03355325,15295784.260360423,15446007.30712186
roll_pause2_mjdp120_v3_4_10yrs,12674866.181310154,13598197.874242302,14199269.920861322,14534321.512093129,14750712.03541034,14906553.911301918,15060351.348968431,15183106.907697406,15313816.125636522,15446910.66085666
roll_pause_mjdp60_v3_4_10yrs,12726989.819661677,13625703.312785821,14191053.267060246,14521148.059351644,14746279.25741302,14902438.821598675,15058193.681814387,15178616.601184916,15319053.37979242,15456908.095549209
