Baseline,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10
roll_uniform_eh_acc1_0_mjdp0_v3_4_10yrs,6338825.199119692,6582407.271721708,6910028.905652377,7140666.462856292,7294902.35582535,7440602.095132453,7573535.336068863,7644876.193238225,7732764.772308473,7836186.244799576
noroll_mjdp180_v3_4_10yrs,6281422.743231632,6583286.572111818,6957799.6139334235,7141510.811288744,7323415.719382269,7462020.946240911,7568348.659641277,7659691.461236885,7755478.850976016,7852383.0438142205
noroll_mjdp365_v3_4_10yrs,6330518.365004519,6708649.651055165,6998802.378633366,7213007.717068872,7367739.820952786,7488031.267629848,7614704.135994559,7675111.617098514,7767513.350057219,7865672.864302588
roll_uniform_eh_au_acc0_5_mjdp0_v3_4_10yrs,6314900.342971901,6570553.13286453,6894425.659223214,7165505.457906015,7295847.380711926,7443156.217706398,7577475.040808398,7641082.51529959,7727534.123842991,7828418.835470226
roll_uniform_eh_acc0_5_mjdp0_v3_4_10yrs,6314900.342971901,6582800.453003406,6896397.260044404,7138944.605606122,7279588.515584484,7422366.777282578,7558909.250380417,7625841.61194092,7719067.499884275,7814606.8455545595
roll_uniform_eh_acc0_2_mjdp0_v3_4_10yrs,6368336.043920918,6616971.626446093,6943454.6705164015,7179111.088693509,7311264.646093021,7450164.898324856,7583127.277296296,7642857.46089348,7736547.418230958,7829988.759961976
roll_uniform_mjdp180_v3_4_10yrs,6272668.596021194,6599822.628862122,6875992.018251965,7069049.235225505,7259305.055039413,7393879.460820802,7516201.876693738,7596502.326866551,7692184.838101117,7803427.674123292
roll_uniform_mjdp67_v3_4_10yrs,6233180.51998503,6596356.145791486,6879621.122640662,7084749.767141175,7263010.304641819,7384067.383367625,7541722.275344248,7614625.490243191,7705630.60308185,7804129.499187928
roll_3_v3_4_10yrs,6333439.364488469,6642358.571586458,6920601.586890309,7147396.453093668,7279519.093917259,7445968.697747461,7561313.466362319,7644781.565741907,7756842.68821619,7849153.588380789
roll_pause_mjdp270_v3_4_10yrs,6348228.262342088,6650977.716670242,6929915.096622803,7141270.232864749,7336125.273927195,7441296.501742651,7570202.312856745,7657066.614178888,7728199.98628559,7847092.847544539
roll_uniform_early_half_mjdp0_v3_4_10yrs,6313987.9934804225,6564197.240013215,6906833.618635096,7158546.823048703,7289072.5745302215,7436040.755723935,7563760.729200122,7627384.610446294,7733459.806265633,7832164.15462264
roll_uniform_eh_au_acc1_0_mjdp0_v3_4_10yrs,6338825.199119692,6588592.272385845,6919059.924889576,7159562.442986082,7302770.13488705,7440558.758822093,7574301.491525758,7639781.117544564,7731067.501236878,7831308.494575932
roll_uniform_early_half_mjdp253_v3_4_10yrs,6390740.784143413,6640940.575687664,6919404.548045018,7195683.360758717,7345516.038169646,7478707.891008809,7617891.527018963,7694176.467247744,7757338.722380226,7858847.752015723
noroll_mjdp0_v3_4_10yrs,6313987.9934804225,6635829.208179036,6995269.681670093,7200189.378737759,7347286.636281321,7487280.157684844,7602531.247476364,7676881.855270282,7778985.938069299,7865848.43937869
noroll_v3_4_10yrs,6336169.3967169,6655429.565649074,7015851.359866876,7237114.741615624,7371061.335060627,7515266.171124232,7623229.132056797,7695633.830046699,7789179.4772479525,7873179.320147835
roll_pause2_mjdp365_v3_4_10yrs,6340939.8521340955,6680846.667307213,6934434.163797972,7146390.154660113,7310124.052393941,7414062.840182369,7560370.372685697,7639780.035352136,7711251.548348105,7825955.236223721
roll_uniform_eh_acc0_0_mjdp0_v3_4_10yrs,6333439.364488469,6564442.610385391,6918238.124128596,7168804.0982779795,7303085.522860766,7442425.228957425,7575306.063542349,7640533.833336666,7726843.642585617,7828572.763012809
roll_pause2_mjdp180_v3_4_10yrs,6272668.596021194,6584498.362425828,6841552.443235905,7066421.79407108,7272546.029418835,7397758.972243918,7508760.48267379,7616637.812244659,7695578.24964685,7792975.576653982
