Baseline,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10
roll_uniform_eh_acc1_0_mjdp0_v3_4_10yrs,12340285.800557686,13142233.207335152,13742562.392554872,14085796.153772697,14319330.862971082,14521940.079756264,14710061.241026789,14826885.188164536,14966550.243500113,15095532.484632578
noroll_mjdp180_v3_4_10yrs,12207958.146615958,13121898.98533762,13697244.125906669,14070017.454143927,14298145.900428232,14513870.453894248,14690471.429685915,14817957.289647982,14971845.523688639,15127294.644578489
noroll_mjdp365_v3_4_10yrs,12380377.077283788,13207885.24087649,13798764.605055992,14137514.986030882,14368553.294262245,14577109.115471844,14756758.556494072,14876147.188167134,15027750.264499487,15173283.335876074
roll_uniform_eh_au_acc0_5_mjdp0_v3_4_10yrs,12376386.702500802,13176821.066676699,13736592.124764098,14089421.565033803,14326221.690987777,14527178.806147497,14717208.670124685,14839008.593848873,14988298.704082074,15125513.81650222
roll_uniform_eh_acc0_5_mjdp0_v3_4_10yrs,12376386.702500802,13167776.032434843,13764636.341270138,14103647.827656226,14339758.383986805,14549162.215804847,14723018.84036469,14843655.968827793,14985777.378476832,15113571.257448012
roll_uniform_eh_acc0_2_mjdp0_v3_4_10yrs,12377310.712333186,13172479.859049996,13769468.883625003,14116958.569949292,14345043.501274364,14550575.681195289,14728091.305901859,14853243.088859834,14994055.801284607,15129069.815607768
roll_uniform_mjdp180_v3_4_10yrs,12205384.825844174,13125424.300157603,13715512.902856529,14084110.632230075,14297651.191130806,14502233.917380556,14676345.951217184,14798178.107224084,14947487.91024399,15095144.763377544
roll_uniform_mjdp67_v3_4_10yrs,12375263.612353317,13162200.35105349,13767008.894964546,14119893.514694158,14346238.714364138,14549986.242958348,14715614.01669301,14850913.104341786,14998124.46745488,15145111.150636012
roll_3_v3_4_10yrs,12391795.857165914,13213224.087166034,13714474.661795802,14119415.688693544,14335446.627302032,14536959.974577455,14713250.607709568,14846268.511641553,14977820.31719163,15127399.317441292
roll_pause_mjdp270_v3_4_10yrs,12398870.79525832,13232069.280216858,13782176.91439642,14162528.639718119,14396609.00423348,14591861.817640703,14784922.601162236,14908259.90558654,15034466.314433452,15156810.722227298
roll_uniform_early_half_mjdp0_v3_4_10yrs,12386089.632144183,13201986.038496898,13778662.124128176,14124613.887435995,14359555.533406667,14567673.367412824,14740864.690671967,14856954.030251151,14995948.457937172,15134913.490526557
roll_uniform_eh_au_acc1_0_mjdp0_v3_4_10yrs,12340285.800557686,13132527.69691753,13725273.532382937,14072788.387529299,14307078.221915659,14516192.350799657,14703904.547638632,14829335.272707857,14968580.789769107,15102423.40370315
roll_uniform_early_half_mjdp253_v3_4_10yrs,12428183.072974868,13245488.993864872,13822045.248828664,14150545.944696825,14400547.705844253,14606570.608951941,14769567.943046387,14915401.710589278,15037583.781422809,15160850.297935633
noroll_mjdp0_v3_4_10yrs,12386089.632144183,13237098.71801122,13749461.51163561,14123713.977639563,14363207.598865665,14560753.538279798,14748554.154097166,14875079.737172626,15005165.773262285,15152256.47745734
noroll_v3_4_10yrs,12349522.365543183,13230183.708129799,13750337.60942838,14126791.763352118,14364045.007514525,14557114.96333534,14752115.16406372,14873823.931994963,15007309.520627871,15155917.614103492
roll_pause2_mjdp365_v3_4_10yrs,12350811.326686226,13192992.94340484,13770934.037481949,14160597.050649855,14370994.324902875,14570334.598051019,14756911.701694094,14878353.824990936,15022100.274130883,15167639.337495038
roll_uniform_eh_acc0_0_mjdp0_v3_4_10yrs,12391795.857165914,13191242.183356714,13767715.792832512,14108295.281954678,14348604.971331364,14551891.727768075,14731127.951657817,14850058.999533154,14991962.198231984,15126734.78047467
roll_pause2_mjdp180_v3_4_10yrs,12205384.825844174,13115982.430333667,13689281.02996695,14071424.16632364,14300021.509518862,14506774.286196876,14686865.597127028,14794530.806658076,14951705.271392288,15093544.644735416
roll_pause2_mjdp120_v3_4_10yrs,12209230.959327532,13111678.091079732,13694449.127666246,14084778.599963356,14298925.263731353,14520665.144827897,14695594.930366507,14804862.88373633,14954846.956985911,15109210.855068266
roll_pause_mjdp60_v3_4_10yrs,12318450.464874819,13164567.136312928,13696426.512025101,14107137.341190524,14319152.732569322,14516975.91214915,14707491.994377213,14827439.24166819,14981543.59857514,15122712.786747491
roll_uniform_eh_acc0_8_mjdp0_v3_4_10yrs,12374097.998070803,13187821.666326875,13762377.072452184,14116810.133812658,14342676.215440163,14538180.843959983,14726109.200673206,14845519.878059398,14982219.547143744,15112664.953156773
roll_pause2_mjdp270_v3_4_10yrs,12418880.180372102,13235738.05696686,13793691.242964536,14183261.313988373,14407011.774809076,14604767.85942076,14780558.931791186,14910807.32928868,15035653.061535362,15168852.643410593
roll_uniform_mjdp0_v3_4_10yrs,12361417.802297778,13211743.535138616,13769161.223268468,14132640.440658452,14366430.573940929,14555701.871814948,14742656.163608413,14865613.44671969,15003503.468217354,15135968.916926041
roll_pause2_mjdp0_v3_4_10yrs,12361417.802297778,13215418.267447857,13715935.864706725,14136206.59991877,14354437.11813952,14540027.223014692,14735226.92707448,14853205.178670857,14982705.19205239,15132389.621670911
roll_uniform_early_half_mjdp180_v3_4_10yrs,12207958.146615958,13116153.278486598,13702241.779493121,14056490.950453259,14287939.508268481,14502339.868732318,14671877.67973199,14791097.860242672,14954493.630919915,15094397.904433694
roll_pause_mjdp120_v3_4_10yrs,12268488.66760208,13123973.868802378,13690738.041092059,14098776.213592587,14304337.24711127,14516914.069345264,14693273.37998243,14798226.030392924,14976294.673961183,15114900.427171117
noroll_mjdp120_v3_4_10yrs,12268488.66760208,13152630.18702082,13742051.730535641,14109652.978645835,14334988.177674998,14546830.070851529,14727477.199788975,14848206.272725143,14999217.486812396,15151817.20046664
roll_pause2_mjdp60_v3_4_10yrs,12338541.055650465,13171781.96249949,13710256.859905064,14101730.123609653,14322712.26353207,14519125.091520295,14705334.669960447,14829084.648492577,14970267.458689354,15124396.821526643
roll_pause_mjdp365_v3_4_10yrs,12380377.077283788,13203622.46288431,13794304.902228389,14158094.709255576,14371445.976678228,14573863.984094348,14762588.203026533,14881004.463482406,15025620.470776264,15156250.623721028
roll_uniform_early_half_mjdp67_v3_4_10yrs,12366245.764748055,13119304.342283482,13754309.932836778,14100894.619824199,14317853.719357137,14538661.827683466,14700235.685509898,14829979.863146309,14980034.123283455,15120041.206511205
roll_uniform_eh_au_acc0_8_mjdp0_v3_4_10yrs,12374097.998070803,13168502.503378741,13751835.122590039,14101984.304275528,14336171.081136212,14545049.4958803,14723585.049983243,14843300.600917965,14978071.66870137,15120215.368248776
roll_uniform_early_half_accordion1_mjdp0_v3_4_10yrs,12340285.800557686,13142233.207335152,13742562.392554872,14085796.153772697,14319330.862971082,14521940.079756264,14710061.241026789,14826885.188164536,14966550.243500113,15095532.484632578
roll_uniform_eh_au_acc0_0_mjdp0_v3_4_10yrs,12391795.857165914,13191242.183356714,13767715.792832512,14108295.281954678,14348604.971331364,14551891.727768075,14731127.951657817,14850058.999533154,14991962.198231984,15126734.78047467
roll_uniform_eh_au_acc0_1_mjdp0_v3_4_10yrs,12387150.512546876,13175181.183108326,13751159.679105558,14103721.605382234,14335712.96587712,14528088.950908557,14716076.695733877,14842425.35366893,14981004.868481772,15112115.097866297
roll_uniform_eh_au_acc0_2_mjdp0_v3_4_10yrs,12377310.712333186,13181977.930665838,13760990.268952724,14109480.313089563,14348075.661469545,14545728.519601375,14724719.502302628,14849165.958431074,14990264.081487484,15129526.957834227
roll_pause_mjdp180_v3_4_10yrs,12207958.146615958,13106963.274017878,13677119.726684172,14074736.058346549,14299715.544848783,14511781.383156043,14689350.408697316,14804062.703851916,14968947.914834034,15109781.451311199
noroll_mjdp60_v3_4_10yrs,12318450.464874819,13157703.918866191,13723845.976407733,14097012.953980438,14329241.769681463,14528092.38200961,14714229.898871582,14841999.53419684,14984737.195349121,15131390.794382337
roll_pause_mjdp0_v3_4_10yrs,12386089.632144183,13213214.462355576,13714942.359268647,14123356.279837584,14352421.565058183,14538400.429744437,14740464.034528669,14851606.579447318,14983831.449844036,15116011.395030122
noroll_mjdp270_v3_4_10yrs,12398870.79525832,13245683.936170548,13799691.354331536,14171009.936228227,14405070.528842395,14605184.94732603,14792006.777617786,14921442.055845566,15052382.940608138,15189151.113857469
roll_uniform_mjdp253_v3_4_10yrs,12417695.693249306,13296569.32650387,13832128.644192647,14179722.771232475,14410778.080331707,14603658.060511038,14771667.968050467,14912722.487832338,15028936.038843345,15158382.19770861
