Baseline,Year1,Year2,Year3,Year4,Year5,Year6,Year7,Year8,Year9,Year10
roll_uniform_eh_acc1_0_mjdp0_v3_4_10yrs,11138157.762643147,11962129.751654424,12610348.812261842,13057392.962575423,13313146.456412546,13531261.187431373,13756640.2177044,13892676.105750293,14052463.096973756,14238124.164422799
noroll_mjdp180_v3_4_10yrs,10973040.417758364,12003890.803269397,12710171.39150333,13119301.710487207,13403501.910997625,13637675.0531589,13833124.606303373,13984587.474526577,14165334.306850024,14349172.386997227
noroll_mjdp365_v3_4_10yrs,11075714.584506955,12059820.923237083,12764805.747016672,13186418.446849342,13462150.462158956,13697824.406922095,13899068.905226663,14044611.982552348,14216897.809893686,14382602.251139
roll_uniform_eh_au_acc0_5_mjdp0_v3_4_10yrs,11158933.358935833,11982360.839523334,12681606.720504366,13119005.259652277,13381508.857836176,13605564.08141414,13821841.41750649,13962110.149341293,14124392.395622544,14305554.756752297
roll_uniform_eh_acc0_5_mjdp0_v3_4_10yrs,11158933.358935833,11984907.444590645,12673291.766134067,13118760.116767805,13364779.629534412,13583653.33772257,13813511.284738183,13947718.41870879,14102645.229112947,14279135.82099592
roll_uniform_eh_acc0_2_mjdp0_v3_4_10yrs,11181915.92409242,12003940.698380172,12690475.682098394,13119400.979002114,13369357.026049154,13593897.872995287,13817511.254719226,13954803.172110088,14115176.43016529,14297248.897344729
roll_uniform_mjdp180_v3_4_10yrs,11008306.799226306,12011893.67357743,12639417.76585702,13082235.705284175,13351696.74619013,13585909.10207595,13790301.907015953,13928181.280102782,14103824.764716009,14291982.022937588
roll_uniform_mjdp67_v3_4_10yrs,11138769.074748216,12050495.195157267,12646638.822060904,13115639.487584714,13373684.91118396,13601964.896641077,13807334.085089102,13950208.148557447,14107839.59558502,14296400.353267843
roll_3_v3_4_10yrs,11149690.169866422,12077923.86992735,12670617.659569193,13109705.511953752,13377352.672973951,13605631.034181539,13811758.258954812,13962605.579276111,14140894.43234623,14312460.710115079
roll_pause_mjdp270_v3_4_10yrs,11195775.849909091,12135894.354522847,12727835.850910522,13168231.152593616,13462117.90336437,13664794.228809293,13873733.469420144,14009593.292685896,14155349.888061753,14330514.395092214
roll_uniform_early_half_mjdp0_v3_4_10yrs,11171131.935520373,11971061.5050078,12697242.466341596,13135364.450638,13390937.213635687,13618380.52387172,13838656.688149935,13976471.930112584,14136413.210870322,14316149.076847058
roll_uniform_eh_au_acc1_0_mjdp0_v3_4_10yrs,11138157.762643147,11988249.753945306,12691176.244107988,13116501.869945146,13373654.988852903,13593504.579662481,13818213.5125228,13954399.179219216,14112587.817170488,14286148.420288125
roll_uniform_early_half_mjdp253_v3_4_10yrs,11164736.278882172,12042725.02190124,12702601.031142596,13183895.117202243,13460596.24402604,13687464.926456552,13898373.093931317,14035803.18869973,14168306.818091385,14327930.339332048
noroll_mjdp0_v3_4_10yrs,11171131.935520373,12117794.448932063,12791453.232196635,13206427.574973088,13469126.330939028,13695690.297614753,13898977.72680243,14039158.631286604,14201324.532748412,14363066.752307428
