u,g,r,i,z,y
6313987.9934804225,10782487.721510299,12837568.843809847,13351195.928375628,11171131.935520373,12386089.632144183
6628006.994378208,11439414.09795546,13665225.101612104,14235980.474029914,12105371.321719756,13213214.462355576
6896847.723023337,11961525.325228177,14221810.610781968,14792874.327527365,12685977.092243783,13714942.359268647
7133294.080544767,12248199.22766037,14563751.607245417,15144206.075340688,13111845.419506405,14130126.619887885
7274508.015056431,12430981.852437694,14754987.60523062,15344748.261212997,13380337.18108244,14340688.874871615
7431160.995674059,12603931.16790355,14937800.479845569,15533639.551978413,13605399.563013665,14537012.483713564
7545750.978216195,12749264.452635817,15080600.480626823,15694837.216003615,13822154.078560375,14712834.235187914
7624987.079404114,12854821.452191165,15196975.947698526,15821407.000590943,13964680.764690492,14842935.38429709
7720946.7052107025,12986372.288585655,15327352.290709455,15962456.62573931,14126745.330970176,14969218.434387024
7819205.119206709,13123559.602457875,15459690.627286967,16106173.215383252,14297095.475563444,15115794.415745664
