db,u,g,r,i,z,y
too_elab_r16_d2_giz_v3_4_10yrs_QSONumberCountsMetric,6186107.252170082,10457260.967754945,12037479.708433688,12439826.414363874,12008513.530774957,9656684.45033976
ddf_acor_sf20_lsf30_lsr20_v3_4_10yrs_QSONumberCountsMetric,6173769.0956886,10470535.94838567,12038078.029325608,12426184.227350362,11994668.019056626,9663130.783250134
too_combined_s1_0_split_v3_4_stripped_10yrs_QSONumberCountsMetric,6162968.602826491,10434172.37540007,11996562.244711058,12386219.406279106,11960671.847694471,9655413.421894677
weather_cloudso1v3_4_10yrs_QSONumberCountsMetric,6199266.786404183,10505018.981853075,12064029.607737899,12457773.685082326,12013135.414209582,9690778.25734254
ddf_acor_sf10_lsf40_lsr50_v3_4_10yrs_QSONumberCountsMetric,6182593.266025224,10479335.03015024,12036029.813641103,12435558.368404236,12004502.216396049,9661048.568804458
too_elab_2yr_r64_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6206439.375921504,10460576.433221398,12029058.136465661,12431197.008207839,12000667.038900364,9729413.816864781
ddf_acor_sf15_lsf40_lsr10_v3_4_10yrs_QSONumberCountsMetric,6183672.684502526,10471978.913871776,12042499.304715347,12432689.80084704,11999609.719625458,9681828.56422338
ddf_acor_sf30_lsf40_lsr20_v3_4_10yrs_QSONumberCountsMetric,6182815.422908979,10477478.14921079,12031211.237862373,12425581.26545109,12002715.216749433,9671862.078670342
too_elab_heavy_r32_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6200103.764607249,10449443.702613374,12038068.47010798,12430572.38886644,11989294.967405353,9702488.958607778
too_elab_r128_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6162627.771543574,10434250.505690482,12027910.263964271,12436693.723974783,12008216.196572404,9663286.403766591
weather_cloudso12v3_4_10yrs_QSONumberCountsMetric,6187968.214621974,10476508.105468312,12045130.211522445,12441949.27345127,11983798.500113524,9657567.57956929
ddf_acor_sf10_lsf20_lsr50_v3_4_10yrs_QSONumberCountsMetric,6184729.707810239,10473298.139875166,12033315.295391655,12433036.972017586,12008249.128161946,9651598.64639308
ddf_acor_sf10_lsf20_lsr10_v3_4_10yrs_QSONumberCountsMetric,6184932.88083486,10480441.588901777,12041970.972653223,12434397.123445977,12000116.82910671,9669140.349099679
too_elab_r8_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6183093.065135653,10468836.379739573,12034412.302418683,12424845.535701184,12001279.744462991,9666355.21336579
too_elab_2yr_r64_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6202333.426235391,10460840.320703475,12033363.349369487,12433492.383741068,12003608.729498144,9727689.79505399
too_combined_s2_0_v3_4_stripped_10yrs_QSONumberCountsMetric,6122398.684608137,10359090.65457448,11943323.137196682,12329258.87561683,11914914.859276911,9609289.572060917
too_elab_r16_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6176709.235558047,10471106.42056683,12041099.88284678,12429187.970735764,12003535.866449568,9663068.792804405
ddf_acor_sf25_lsf30_lsr20_v3_4_10yrs_QSONumberCountsMetric,6171569.110998161,10469327.197315173,12031916.737768918,12424204.651628872,12003796.05796327,9664459.25982241
too_elab_heavy_r64_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6141068.980911883,10436978.265951315,12020544.852402877,12425148.707486494,11989199.293624252,9646126.827510329
too_elab_heavy_r128_d3_griz_v3_4_10yrs_QSONumberCountsMetric,6139517.905310407,10442571.16171016,12015054.598602474,12425027.717890967,11990687.781273767,9629694.42584085
too_elab_r64_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6171895.087434857,10442218.987114033,12035206.54553581,12428896.693292486,12001291.089868281,9639605.728473661
weather_cloudso2v3_4_10yrs_QSONumberCountsMetric,6224435.601798486,10497467.988405885,12072331.066691447,12469988.775278307,12030943.105854101,9698935.727180403
too_elab_r16_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6174291.081569879,10460590.01922208,12042748.642072428,12436951.52360356,11995173.201905405,9659748.781654697
ddf_acor_sf10_lsf15_lsr20_v3_4_10yrs_QSONumberCountsMetric,6181556.049496146,10482536.10845215,12038076.869120937,12438006.060134351,12016350.496712174,9671325.3244421
ddf_acor_sf25_lsf40_lsr50_v3_4_10yrs_QSONumberCountsMetric,6178140.810858531,10469123.39092478,12035832.830894688,12429526.519548379,12002056.568131762,9660909.53258248
too_combined_no_gw_s1_0_v3_4_stripped_10yrs_QSONumberCountsMetric,6207301.778714419,10477530.406955775,12041707.784955626,12410027.662855115,11984002.57560089,9689476.913730823
too_elab_heavy_r32_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6160292.743092908,10443497.786935112,12029200.606519388,12436113.03522553,12000751.110957246,9651846.82547816
too_elab_heavy_r64_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6166529.048993689,10453926.481463801,12026207.320822433,12425768.639499791,11999750.86373321,9654763.72189748
too_combined_no_nss_s1_0_v3_4_10yrs_QSONumberCountsMetric,6186083.353348525,10498125.09609191,12039027.339856233,12411253.658256972,11946023.270005632,9645283.970915595
ddf_acor_sf10_lsf40_lsr20_v3_4_10yrs_QSONumberCountsMetric,6185816.70871441,10463513.47058975,12034458.24309286,12430261.97210424,11996891.252438292,9665023.00715464
too_elab_r128_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6281036.172452317,10432462.951531505,12007539.374748085,12417803.440682717,11993815.82330883,9792707.390215928
too_elab_heavy_r64_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6202951.714817254,10427758.083555851,12025952.949937489,12427415.35751337,11993184.036356514,9705641.857157253
too_elab_r128_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6157672.178314311,10438179.536591372,12022128.536390483,12430937.057893116,12002186.78485132,9646486.766889704
too_elab_heavy_r32_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6182316.0485905185,10446989.747096172,12031367.54446984,12433084.686163917,11994167.38866854,9684036.22809079
too_ignore_5_4v3_4_10yrs_QSONumberCountsMetric,6182408.036504784,10477271.682315085,12043164.00382181,12431554.955181962,12008812.178597027,9670764.630932236
ddf_acor_sf10_lsf40_lsr10_v3_4_10yrs_QSONumberCountsMetric,6183909.079930512,10461092.528288689,12036986.340342192,12431872.155394208,12002886.385544427,9686979.54685938
ddf_loaded_fl1_v3_4_10yrs_QSONumberCountsMetric,6190402.381955745,10494428.450955143,12068416.784769116,12479635.404222276,12051082.836766714,9704490.947846398
too_combined_s1_5_v3_4_stripped_10yrs_QSONumberCountsMetric,6151883.067937596,10396218.86565421,11975711.704428889,12364734.130598407,11944379.538625302,9632546.557062449
too_combined_s1_0_v3_4_10yrs_QSONumberCountsMetric,6184720.216720128,10490179.850908827,12036983.347374728,12415773.70968837,11964229.630462592,9656123.731652819
too_elab_heavy_r128_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6247028.132068618,10443260.639167173,12009426.324457796,12423073.202719815,11970607.592708608,9792355.064822296
ddf_acor_sf10_lsf30_lsr50_v3_4_10yrs_QSONumberCountsMetric,6176167.768452207,10463600.31496162,12040338.000725724,12438536.20490018,12009992.922536321,9669634.787809871
too_elab_r8_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6194340.968891971,10463631.416579422,12035028.650594547,12431642.072881952,11994964.005504714,9667074.086364426
weather_cloudso35v3_4_10yrs_QSONumberCountsMetric,6172799.262357098,10438945.836526,12028118.024441607,12421880.303984253,11974090.672756292,9658984.25297345
ddf_half_v3_4_10yrs_QSONumberCountsMetric,6180209.512981889,10463749.851516169,12026254.167341352,12427486.275537685,11986337.645314302,9664996.266264107
too_elab_heavy_r128_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6145166.8683755,10441480.96163145,12015589.59302604,12429573.813794425,11991079.822815944,9630588.006748792
too_elab_heavy_r128_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6222493.948563358,10442695.087513393,12012297.442369968,12428493.562248945,11964912.05881127,9780082.169634558
weather_cloudso8v3_4_10yrs_QSONumberCountsMetric,6201943.217337333,10477551.1640645,12051361.843682487,12457651.021434395,12023479.316672985,9687808.067416307
too_example_10_1v3_4_10yrs_QSONumberCountsMetric,6177126.196610518,10477466.041880507,12030826.042111477,12438674.840099243,11994834.711968673,9675531.724808138
too_combined_s0_8_v3_4_stripped_10yrs_QSONumberCountsMetric,6172615.1938400455,10441383.46451579,12009118.649469903,12394003.39459735,11964562.689101664,9654252.390378874
too_elab_2yr_r128_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6175794.341552918,10462976.210460834,12025431.7089689,12432767.012926567,11995944.544162685,9654040.343324704
